pl_name,discoverymethod,disc_year,pl_controv_flag,pl_orbper,pl_rade,pl_bmasse,pl_dens,hostname,sy_dist,st_mass,st_spectype,st_lum,st_teff,st_met,st_age
Kepler-1526 b,Transit,2016,0,3.908632,2.43,6.48,2.48,Kepler-1526,555.574,0.73,,-0.707,4601.0,-0.01,4.68
Kepler-1442 b,Transit,2016,0,81.4162941,3.93,14.7,1.33,Kepler-1442,608.68,1.34,,0.651,6394.0,0.26,1.7000000000000002
Kepler-153 b,Transit,2014,0,18.870227,2.92,8.85,1.95,Kepler-153,459.368,0.8300000000000001,,-0.446,5404.0,-0.12,13.8
Kepler-1494 b,Transit,2016,0,91.080482,3.07,9.64,1.83,Kepler-1494,1285.48,0.96,,0.079,5659.0,0.01,4.37
Kepler-1566 b,Transit,2016,0,0.53991524,0.79,0.41800000000000004,4.66,Kepler-1566,466.586,0.84,,-0.437,5254.0,-0.07,5.01
Kepler-186 b,Transit,2014,0,3.8867907,1.07,1.24,5.56,Kepler-186,177.594,0.48,M1,-1.385,3788.0,-0.28,4.0
Kepler-188 c,Transit,2014,0,5.9965530000000005,3.19,10.3,1.74,Kepler-188,968.544,0.98,,0.034,6021.0,0.14,5.8
TOI-561 d,Transit,2020,1,25.7124,2.8200000000000003,13.2,3.2,TOI-561,85.799,0.81,G9 V,-0.273,5372.0,-0.4,11.0
TOI-2145 b,Transit,2023,0,10.26075,11.982,1671.77742,5.34,TOI-2145,224.731,1.72,,0.997,6177.0,0.247,1.8
Kepler-603 c,Transit,2016,0,127.9075774,6.5,34.5,0.69,Kepler-603,1539.63,1.01,,0.392,5808.0,0.03,4.37
GJ 463 b,Radial Velocity,2022,0,3448.0,13.0,1144.18227,2.86,GJ 463,18.3554,0.49,M3 V,-1.5230000000000001,3540.0,,
Kepler-30 d,Transit,2012,0,143.34394,8.8,23.1,0.19,Kepler-30,914.221,0.99,,-0.23700000000000002,5498.0,0.18,2.0
Kepler-187 c,Transit,2014,0,10.640263000000001,2.67,7.61,2.2,Kepler-187,1143.0,1.11,,0.493,6105.0,-0.02,3.7199999999999998
Kepler-188 b,Transit,2014,0,2.061897,1.6800000000000002,3.46,4.01,Kepler-188,968.544,0.98,,0.034,6021.0,0.14,5.8
Kepler-190 b,Transit,2014,0,2.019999,1.56,3.05,4.41,Kepler-190,433.387,0.86,,-0.441,5106.0,0.02,3.7199999999999998
Kepler-653 b,Transit,2016,0,14.70748976,1.9500000000000002,4.46,3.31,Kepler-653,595.634,1.02,,0.11900000000000001,5665.0,0.23,7.76
Kepler-67 b,Transit,2013,0,15.7259,2.94,8.96,1.94,Kepler-67,1131.19,0.86,G9 V,-0.376,5331.0,-0.2,1.0
Kepler-728 b,Transit,2016,0,5.74347727,3.34,11.1,1.6400000000000001,Kepler-728,1765.23,0.9500000000000001,,0.227,5660.0,-0.03,4.07
Kepler-201 b,Transit,2014,0,25.672083,2.46,6.62,2.44,Kepler-201,636.445,1.18,,0.34800000000000003,6065.0,-0.044,2.19
Kepler-1534 b,Transit,2016,0,5.7166887200000005,1.8900000000000001,4.23,3.44,Kepler-1534,1107.0,0.9,,-0.233,5442.0,-0.01,4.57
Kepler-1540 b,Transit,2016,0,125.4131177,2.49,6.76,2.41,Kepler-1540,244.96,0.74,,-0.8180000000000001,4540.0,0.1,2.51
Kepler-1542 b,Transit,2016,0,3.95116882,0.76,0.36300000000000004,4.54,Kepler-1542,399.114,0.9400000000000001,,0.07,5564.0,0.06,8.51
Kepler-1542 e,Transit,2016,0,5.10115756,0.76,0.36300000000000004,4.54,Kepler-1542,399.114,0.9400000000000001,,0.07,5564.0,0.06,8.51
Kepler-1543 b,Transit,2016,0,6.96710269,2.71,7.8,2.15,Kepler-1543,921.784,1.3900000000000001,,0.487,6561.0,0.07,1.9100000000000001
Kepler-1553 b,Transit,2016,0,4.24261881,1.15,1.6,5.78,Kepler-1553,692.594,0.85,,-0.338,5288.0,-0.09,4.57
Kepler-1585 b,Transit,2016,0,3.5827463,1.79,3.8600000000000003,3.7,Kepler-1585,944.465,0.9400000000000001,,-0.434,5538.0,0.08,4.37
Kepler-1586 b,Transit,2016,0,15.6049212,1.52,2.92,4.57,Kepler-1586,552.55,1.45,,0.183,6681.0,0.06,1.7000000000000002
Kepler-732 b,Transit,2016,0,9.46781405,2.18,5.39,2.86,Kepler-732,174.826,0.49,,-1.375,3631.0,-0.01,4.47
Kepler-203 b,Transit,2014,0,3.162697,2.5700000000000003,7.13,2.31,Kepler-203,703.302,1.0,,0.094,5821.0,0.048,0.5
Kepler-207 c,Transit,2014,0,3.071571,1.5,2.8600000000000003,4.66,Kepler-207,875.519,1.04,,0.534,5920.0,0.18,4.17
Kepler-1570 b,Transit,2016,0,26.548955,1.07,1.24,5.56,Kepler-1570,918.995,0.92,,0.41400000000000003,5550.0,-0.04,4.17
Kepler-1575 b,Transit,2016,0,2.55314213,1.31,2.27,5.55,Kepler-1575,1246.92,0.9500000000000001,,-0.037,5667.0,-0.07,4.17
Kepler-1522 b,Transit,2016,0,1.84788917,1.73,3.64,3.86,Kepler-1522,814.125,0.96,,0.092,5706.0,-0.07,3.89
Kepler-1525 b,Transit,2016,0,2.41660118,0.91,0.6930000000000001,5.05,Kepler-1525,382.989,1.07,,-0.011,5748.0,0.27,2.8200000000000003
Kepler-1546 b,Transit,2016,0,19.5974971,3.13,9.96,1.7799999999999998,Kepler-1546,931.956,0.9500000000000001,,-0.13,5623.0,0.01,3.7199999999999998
Kepler-1547 b,Transit,2016,0,0.69297968,0.9,0.666,5.02,Kepler-1547,674.695,1.12,,0.222,6078.0,0.04,3.39
Kepler-1555 b,Transit,2016,0,8.10501635,1.6099999999999999,3.22,4.24,Kepler-1555,2013.27,1.04,,0.389,5866.0,0.03,4.37
Kepler-221 c,Transit,2014,0,5.690586,2.93,15.1,3.3,Kepler-221,385.231,0.8200000000000001,,-0.404,5243.0,0.062,4.57
Kepler-605 b,Transit,2016,0,3.38353807,1.44,2.67,4.91,Kepler-605,556.58,0.91,,-0.248,5462.0,0.02,4.47
Kepler-160 c,Transit,2014,0,13.699429,3.76,13.6,1.41,Kepler-160,937.013,0.97,,0.004,5471.0,0.14,1.6
Kepler-1601 b,Transit,2016,0,2.20921951,0.8200000000000001,0.47700000000000004,4.75,Kepler-1601,644.456,1.04,,0.085,5869.0,0.05,4.27
Kepler-1603 b,Transit,2016,0,2.27163926,1.29,2.21,5.66,Kepler-1603,2712.58,1.21,,0.706,6241.0,0.07,2.8200000000000003
Kepler-158 c,Transit,2014,0,28.551383,1.9,4.27,3.42,Kepler-158,315.177,0.66,,-0.757,4623.0,-0.03,13.9
Kepler-1443 b,Transit,2016,0,2.41811321,0.97,0.8710000000000001,5.24,Kepler-1443,593.646,1.19,,0.561,6289.0,0.0,2.63
Kepler-1447 b,Transit,2016,0,56.6747285,2.9,8.75,1.97,Kepler-1447,890.296,0.97,,-0.042,5722.0,-0.03,4.17
Kepler-205 b,Transit,2014,0,2.75564,1.51,2.89,4.61,Kepler-205,159.72,0.59,M1 V,-0.9560000000000001,4321.0,-0.125,3.16
Kepler-1606 b,Transit,2016,0,196.435224,2.07,4.94,3.06,Kepler-1606,831.287,0.9,,-0.171,5422.0,0.01,4.27
Kepler-1429 b,Transit,2016,0,4.48487493,1.29,2.21,5.66,Kepler-1429,1214.09,1.05,,0.138,5902.0,0.04,4.17
Kepler-606 b,Transit,2016,0,24.31575992,3.31,11.0,1.67,Kepler-606,1215.11,1.13,,0.254,6161.0,0.01,2.88
Kepler-1593 b,Transit,2016,0,174.509835,3.17,10.2,1.76,Kepler-1593,638.249,0.81,,-0.652,4995.0,0.02,3.63
Kepler-733 b,Transit,2016,0,20.83424726,2.8200000000000003,8.35,2.05,Kepler-733,916.706,0.9,,-0.298,5418.0,0.01,4.27
Kepler-1641 b,Transit,2016,0,19.672266,3.11,9.85,1.7999999999999998,Kepler-1641,860.37,1.12,,0.131,6152.0,-0.02,3.02
Kepler-57 c,Transit,2012,0,11.6092567,1.55,9.1,,Kepler-57,644.14,0.8300000000000001,,-0.342,5145.0,0.117,0.6
Kepler-212 b,Transit,2014,0,16.257582,1.09,1.32,5.6,Kepler-212,687.194,1.17,,0.383,5852.0,0.116,2.5
Kepler-221 e,Transit,2014,0,18.369917,2.63,7.41,2.24,Kepler-221,385.231,0.8200000000000001,,-0.404,5243.0,0.062,4.57
Kepler-1641 c,Transit,2016,0,32.657212,2.95,9.01,1.93,Kepler-1641,860.37,1.12,,0.131,6152.0,-0.02,3.02
Kepler-189 c,Transit,2014,0,20.134866,2.38,22.7,9.25,Kepler-189,591.534,0.79,,-0.448,5235.0,-0.02,0.7000000000000001
Kepler-160 b,Transit,2014,0,4.309397,1.7149999999999999,3.59,3.91,Kepler-160,937.013,0.97,,0.004,5471.0,0.14,1.6
Kepler-158 b,Transit,2014,0,16.709184,2.12,5.14,2.96,Kepler-158,315.177,0.66,,-0.757,4623.0,-0.03,13.9
Kepler-572 b,Transit,2016,0,17.20523483,2.58,7.18,2.3,Kepler-572,504.667,0.8300000000000001,,-0.434,5212.0,-0.1,4.68
Kepler-223 d,Transit,2014,0,14.78869,5.24,8.0,0.31,Kepler-223,1859.71,1.12,,0.371,5803.0,0.19,7.2
Kepler-646 b,Transit,2016,0,15.87364565,1.99,4.62,3.22,Kepler-646,451.794,0.93,,-0.259,5634.0,-0.07,4.57
Kepler-208 b,Transit,2014,0,4.22864,1.63,3.29,4.17,Kepler-208,775.328,1.16,,0.309,6092.0,-0.042,4.37
Kepler-161 b,Transit,2014,0,4.921355,2.12,12.1,6.98,Kepler-161,434.632,0.86,,-0.447,5078.0,0.07,4.68
Kepler-1587 b,Transit,2016,0,9.4060467,1.33,2.33,5.44,Kepler-1587,1026.48,1.08,,0.326,5933.0,0.07,5.01
Kepler-1588 b,Transit,2016,0,7.84931739,0.76,0.36300000000000004,4.54,Kepler-1588,924.141,0.96,,0.32,5817.0,-0.14,5.5
Kepler-1589 b,Transit,2016,0,0.99166527,1.09,1.32,5.6,Kepler-1589,1513.14,1.18,,0.329,6166.0,0.08,2.75
Kepler-1613 b,Transit,2016,0,1.5184299,2.08,4.98,3.04,Kepler-1613,1508.33,1.08,,0.638,6005.0,0.01,3.55
Kepler-767 b,Transit,2016,0,161.5280101,6.64,35.7,0.6699999999999999,Kepler-767,2251.03,0.96,,0.47600000000000003,5694.0,-0.05,4.07
Kepler-229 b,Transit,2014,0,6.252972,2.2,5.48,2.83,Kepler-229,826.265,0.8,,-0.538,5120.0,0.16,1.1
Kepler-573 b,Transit,2016,0,22.18329658,2.79,8.2,2.07,Kepler-573,771.471,0.99,,0.029,5746.0,0.02,5.89
Kepler-208 d,Transit,2014,0,11.131786,1.2,1.87,5.95,Kepler-208,775.328,1.16,,0.309,6092.0,-0.042,4.37
Kepler-161 c,Transit,2014,0,7.06424,2.05,11.8,7.53,Kepler-161,434.632,0.86,,-0.447,5078.0,0.07,4.68
Kepler-216 b,Transit,2014,0,7.693641,2.35,6.12,2.59,Kepler-216,1187.47,1.11,,0.518,6091.0,-0.149,0.28
Kepler-1611 b,Transit,2016,0,5.1762429,0.81,0.457,4.73,Kepler-1611,908.444,0.9400000000000001,,-0.113,5605.0,0.01,5.01
Kepler-1618 b,Transit,2016,0,6.10826019,1.26,2.13,5.85,Kepler-1618,1229.25,1.4100000000000001,,0.6900000000000001,6620.0,0.04,1.78
Kepler-1614 b,Transit,2016,0,3.9466141,1.49,2.83,4.7,Kepler-1614,1191.19,0.79,,-0.271,5121.0,-0.17,5.5
Kepler-1612 b,Transit,2016,0,3.91795101,1.03,1.08,5.43,Kepler-1612,764.726,0.96,,-0.188,5643.0,0.03,4.57
Kepler-1631 b,Transit,2016,0,4.09513932,1.35,2.39,5.34,Kepler-1631,1305.99,0.97,,0.007,5679.0,0.04,4.17
Kepler-1615 b,Transit,2016,0,47.3126192,2.06,4.9,3.08,Kepler-1615,1393.83,1.04,,0.389,5865.0,0.06,3.89
Kepler-220 b,Transit,2014,0,4.159807,0.81,0.457,4.73,Kepler-220,171.109,0.65,,-0.676,4632.0,-0.17400000000000002,6.0
Kepler-1632 b,Transit,2016,0,448.303558,2.47,6.66,2.43,Kepler-1632,716.76,1.12,,0.406,6137.0,0.0,3.09
Kepler-1639 b,Transit,2016,0,9.878482,2.58,7.18,2.3,Kepler-1639,1031.31,1.12,,0.145,6150.0,-0.03,3.16
Kepler-208 e,Transit,2014,0,16.259458,1.48,2.79,4.73,Kepler-208,775.328,1.16,,0.309,6092.0,-0.042,4.37
Kepler-209 c,Transit,2014,0,41.749882,3.1,9.8,1.81,Kepler-209,576.946,0.93,,-0.129,5513.0,0.11,4.47
Kepler-221 b,Transit,2014,0,2.795906,1.71,3.5700000000000003,3.92,Kepler-221,385.231,0.8200000000000001,,-0.404,5243.0,0.062,4.57
Kepler-58 c,Transit,2012,0,15.5741568,2.86,53.0,,Kepler-58,969.252,0.9500000000000001,,-0.004,5843.0,0.09,2.14
Kepler-184 d,Transit,2014,0,29.022358,2.49,6.76,2.41,Kepler-184,610.326,0.97,,-0.225,5788.0,-0.196,1.7000000000000002
CoRoT-7 c,Radial Velocity,2009,0,3.698,2.83,8.4,2.04,CoRoT-7,159.906,0.9,G9 V,-0.289,5256.0,0.06,1.8
Kepler-1711 b,Transit,2021,0,21.06080055,1.923,4.36,3.37,Kepler-1711,590.268,0.9400000000000001,,0.01,5706.0,0.0,6.6
Kepler-1630 b,Transit,2016,0,509.997402,2.19,5.43,2.84,Kepler-1630,331.213,0.66,,-0.646,4736.0,-0.46,5.01
Kepler-769 b,Transit,2016,0,7.42608998,2.92,8.85,1.95,Kepler-769,1169.57,1.19,,0.179,6186.0,0.06,2.88
Kepler-241 c,Transit,2014,0,36.065978,2.5700000000000003,7.13,2.31,Kepler-241,512.0,0.67,,-0.607,4699.0,0.031,13.9
Kepler-1649 b,Transit,2017,0,8.689099,1.017,1.03,5.38,Kepler-1649,92.1913,0.2,,-2.287,3240.0,-0.15,
Kepler-1653 b,Transit,2017,0,140.2524,2.17,5.35,2.88,Kepler-1653,755.0,0.72,,-0.636,4807.0,-0.18,7.7
TOI-2236 b,Transit,2022,0,3.5315902,14.37,502.16888,0.9299999999999999,TOI-2236,355.59,1.34,,0.533,6248.0,0.11900000000000001,2.52
TOI-3023 b,Transit,2023,0,3.9014971000000003,16.432,197.05361,0.245,TOI-3023,389.916,1.12,,0.444,5760.0,0.085,7.0
TOI-2207 b,Transit,2022,0,8.001968,11.153,203.41018,0.7999999999999999,TOI-2207,373.345,1.3,,0.484,6101.0,0.181,3.3
TOI-712 c,Transit,2022,0,51.69906,2.701,7.76,2.16,TOI-712,58.6212,0.73,K4.5 V,-0.728,4622.0,-0.02,0.8300000000000001
TOI-712 d,Transit,2022,0,84.8396,2.474,6.68,2.42,TOI-712,58.6212,0.73,K4.5 V,-0.728,4622.0,-0.02,0.8300000000000001
Kepler-191 d,Transit,2016,0,5.94504102,2.2800000000000002,5.82,2.7,Kepler-191,594.464,0.84,,-0.41400000000000003,5215.0,-0.05,4.9
Kepler-650 b,Transit,2016,0,3.03214559,2.96,9.06,1.92,Kepler-650,884.378,1.08,,0.28400000000000003,5849.0,0.13,6.46
HD 188641 b,Radial Velocity,2022,0,14583.81038324,11.9,9262.62856,30.2,HD 188641,64.3399,1.07,,0.615,5897.32,-0.08,
Kepler-1731 b,Transit,2021,0,21.76129913,2.933,8.92,1.94,Kepler-1731,169.948,0.78,,-0.6,4859.0,0.0,13.9
HATS-4 b,Transit,2014,0,2.5167289999999998,11.433,420.471,1.5499999999999998,HATS-4,416.459,1.0,G,-0.187,5403.0,0.43,2.1
WASP-140 b,Transit,2016,0,2.2359835,16.141,775.5052,1.1,WASP-140,117.598,0.9,K0,-0.294,5260.0,0.12,0.5
HATS-13 b,Transit,2015,0,3.0440499,13.585,172.58169,0.377,HATS-13,421.855,0.96,,-0.321,5523.0,0.05,2.5
HD 23472 e,Transit,2022,0,7.90754,0.8180000000000001,0.7200000000000001,7.5,HD 23472,39.0341,0.67,K4 V,-0.625,4684.0,-0.2,
Kepler-195 c,Transit,2014,0,34.096863,1.55,3.02,4.46,Kepler-195,652.051,0.84,,-0.367,5329.0,-0.11,0.7000000000000001
Kepler-758 e,Transit,2016,0,8.1934719,1.53,2.96,4.54,Kepler-758,1502.32,1.16,,0.5630000000000001,6228.0,-0.1,3.8
Kepler-60 d,Transit,2012,0,11.8981,1.99,4.16,2.91,Kepler-60,1025.1,1.04,,0.369,5905.0,-0.09,5.0
Kepler-242 c,Transit,2014,0,14.496481,2.0,4.66,3.2,Kepler-242,600.241,0.81,,-0.613,5020.0,0.01,14.0
Kepler-1742 b,Transit,2021,0,49.47819901,2.178,5.38,2.86,Kepler-1742,669.573,0.9400000000000001,,-0.184,5776.0,-0.18,0.5
KOI-984 c,Transit Timing Variations,2022,0,21.512,14.1,209.8,0.411,KOI-984,252.667,0.93,,-0.324,5295.0,0.12,1.3
Kepler-1322 b,Transit,2016,0,0.96286738,1.6099999999999999,3.22,4.24,Kepler-1322,1350.32,0.9,,-0.101,5488.0,-0.07,4.47
OGLE-2019-BLG-0362L b,Microlensing,2022,0,,13.1,1036.12061,2.5300000000000002,OGLE-2019-BLG-0362L,5830.0,0.42,,,,,
Kepler-1793 b,Transit,2021,0,8.77999973,3.79,13.8,1.39,Kepler-1793,1189.88,0.85,,-0.234,5191.0,-0.06,3.6
Kepler-1880 b,Transit,2021,0,6.30921984,2.117,5.13,2.9699999999999998,Kepler-1880,611.041,0.52,,-0.762,4380.0,-0.92,13.6
HD 216520 c,Radial Velocity,2020,0,154.43,3.03,9.44,1.8599999999999999,HD 216520,19.552,0.8200000000000001,K2,-0.452,5103.0,-0.16,6.0
Kepler-1825 b,Transit,2021,0,1.02586997,1.422,2.6100000000000003,4.99,Kepler-1825,430.254,0.8300000000000001,,-0.532,5123.0,0.14,14.0
Kepler-1798 b,Transit,2021,0,16.85589981,2.309,5.94,2.65,Kepler-1798,395.196,0.59,,-0.9570000000000001,3967.0,0.06,13.9
Kepler-1951 b,Transit,2021,0,20.65780067,2.321,6.0,2.64,Kepler-1951,1277.32,0.92,,0.501,5468.0,0.14,
Kepler-172 c,Transit,2014,0,6.388996,2.86,8.55,2.01,Kepler-172,828.592,1.0,,-0.032,5526.0,0.23,6.46
Kepler-18 b,Transit,2011,0,3.504725,2.0,6.9,4.9,Kepler-18,433.047,0.97,,-0.031,5345.0,0.19,10.0
Kepler-704 b,Transit,2016,0,3.7618211500000003,2.61,7.32,2.26,Kepler-704,1228.83,0.97,,0.036000000000000004,5616.0,0.09,5.13
Kepler-706 b,Transit,2016,0,41.40831347,13.17,,,Kepler-706,886.667,0.87,,-0.218,5394.0,-0.06,4.79
Kepler-707 b,Transit,2016,0,2.23749275,1.33,2.33,5.44,Kepler-707,591.776,0.8,,-0.501,5099.0,-0.12,4.9
Kepler-724 b,Transit,2016,0,3.31494634,3.29,10.8,1.67,Kepler-724,853.119,0.9,,-0.223,5437.0,-0.02,4.37
Kepler-1678 b,Transit,2020,0,147.974,3.304,10.9,1.66,Kepler-1678,847.339,1.03,,-0.162,5754.0,0.0,0.3
Kepler-567 b,Transit,2016,0,16.54297375,2.25,5.69,2.74,Kepler-567,558.81,0.84,,-0.40900000000000003,5148.0,0.0,4.68
Kepler-327 c,Transit,2014,0,5.212333,1.03,20.3,102.0,Kepler-327,241.987,0.59,,-1.26,3799.0,-0.2,3.02
Kepler-322 b,Transit,2014,0,1.653888,1.01,1.01,5.39,Kepler-322,400.48,0.92,,-0.28800000000000003,5388.0,0.05,14.0
Kepler-313 b,Transit,2014,0,14.970418,2.5300000000000002,6.94,2.35,Kepler-313,1079.3952487,1.08,,0.312,5727.0,0.16,6.61
TOI-5205 b,Transit,2023,0,1.630757,11.6,343.0,1.21,TOI-5205,86.4493,0.39,M4.0,-1.712,3430.0,1.0,
TOI-3714 b,Transit,2022,0,2.154849,11.321,222.47988,0.85,TOI-3714,112.71,0.53,M2,-1.438,3660.0,0.1,2.9
Kepler-301 d,Transit,2014,0,13.751243,1.75,3.71,3.8,Kepler-301,719.166,0.98,,-0.08,5815.0,0.187,4.17
Kepler-296 f,Transit,2014,0,63.33627,1.8,3.89,3.2,Kepler-296,167.0,0.5,M2 V,-1.569,3740.0,-0.08,4.2
Kepler-297 b,Transit,2014,0,38.871826,2.87,48.5,11.3,Kepler-297,692.14,0.98,,-0.096,5619.0,-0.1,1.9
Kepler-301 b,Transit,2014,0,2.508553,1.35,2.39,5.34,Kepler-301,719.166,0.98,,-0.08,5815.0,0.187,4.17
Kepler-275 b,Transit,2014,0,10.300682,2.34,6.08,2.61,Kepler-275,2034.25,1.16,,0.449,6165.0,0.0,0.31
Kepler-285 b,Transit,2014,0,2.633867,1.34,2.36,5.39,Kepler-285,824.31,0.8200000000000001,,-0.279,5411.0,0.16,0.6
Kepler-287 b,Transit,2014,0,20.342199,2.33,6.04,2.62,Kepler-287,835.86,0.97,K7 V,-0.134,5806.0,0.117,7.6
Kepler-288 b,Transit,2014,0,6.097326,1.67,3.43,4.05,Kepler-288,1194.15,1.03,,0.056,5918.0,0.16,3.7199999999999998
Kepler-150 e,Transit,2014,0,30.826557,3.12,9.91,1.79,Kepler-150,891.092,0.9400000000000001,,-0.161,5560.0,-0.02,4.57
K2-212 b,Transit,2018,0,9.795647,2.65,7.51,2.22,K2-212,109.218,0.62,,-0.91,4349.0,0.03,
K2-36 b,Transit,2016,0,1.422614,1.43,3.9,7.2,K2-36,109.749,0.79,K2 V,-0.5700000000000001,4916.0,-0.09,1.4
HD 56414 b,Transit,2022,0,29.04992,3.71,13.3,1.43,HD 56414,272.217,1.8900000000000001,,1.158,8500.0,0.0,0.42
TOI-3819 b,Transit,2023,0,3.2443141,13.137,352.78953,0.85,TOI-3819,558.141,1.24,,0.4,5859.0,0.273,4.5
TOI-836 b,Transit,2023,0,3.81673,1.704,4.53,5.02,TOI-836,27.5024,0.68,K V,-0.853,4552.0,-0.28400000000000003,5.4
TOI-3976 A b,Transit,2023,0,6.607662,12.274000000000001,55.61997,0.16499999999999998,TOI-3976 A,516.087,1.25,,0.41300000000000003,5975.0,0.182,3.8
GJ 3470 b,Radial Velocity,2012,0,3.3366496,4.57,13.9,0.7999999999999999,GJ 3470,29.4214,0.54,M1.5,-1.538,3600.0,0.2,1.65
GJ 3473 b,Transit,2020,0,1.1980035,1.264,1.86,5.03,GJ 3473,27.3644,0.36,M4,-1.824,3347.0,0.11,
Kepler-1720 b,Transit,2021,0,12.70639992,3.216,10.4,1.72,Kepler-1720,629.445,0.9400000000000001,,-0.336,5573.0,-0.04,0.5
Kepler-276 d,Transit,2013,0,48.648,2.8,16.3,4.08,Kepler-276,1144.86,1.1,,-0.089,5779.0,0.02,0.4
Kepler-244 d,Transit,2014,0,20.050401,2.31,15.2,6.78,Kepler-244,1036.49,0.96,,-0.256,5554.0,0.16,0.5
Kepler-245 b,Transit,2014,0,7.49019,2.5700000000000003,7.13,2.31,Kepler-245,861.527,0.86,,-0.396,5100.0,0.05,3.63
Kepler-212 c,Transit,2014,0,31.805174,2.74,7.95,2.12,Kepler-212,687.194,1.17,,0.383,5852.0,0.116,2.5
Kepler-214 c,Transit,2014,0,28.7798,2.13,5.18,2.95,Kepler-214,1208.44,1.11,,0.511,6169.0,-0.091,1.58
Kepler-215 b,Transit,2014,0,9.360672,1.62,3.26,4.21,Kepler-215,485.997,0.9400000000000001,,-0.117,5739.0,-0.443,1.62
Kepler-217 c,Transit,2014,0,8.586003999999999,1.85,4.08,3.54,Kepler-217,1104.64,1.1400000000000001,,0.754,6171.0,0.09,2.63
Kepler-229 d,Transit,2014,0,41.194912,3.85,14.2,1.37,Kepler-229,826.265,0.8,,-0.538,5120.0,0.16,1.1
Kepler-23 d,Transit,2014,0,15.274299,2.2,17.6,9.08,Kepler-23,835.756,1.1,,0.398,5828.0,-0.112,6.61
Kepler-236 b,Transit,2014,0,8.295611,1.57,3.09,4.39,Kepler-236,288.763,0.6,M1 V,-1.229,3750.0,-0.05,3.16
Kepler-1456 b,Transit,2016,0,18.1373829,1.1400000000000001,1.55,5.75,Kepler-1456,370.312,0.64,,-0.9570000000000001,4231.0,-0.09,3.7199999999999998
Kepler-31 b,Transit,2011,0,20.8613,5.5,25.9,0.855,Kepler-31,1664.64,1.21,,0.301,6340.0,-0.076,0.28
Kepler-32 e,Transit,2012,0,2.896,1.5,2.8600000000000003,4.66,Kepler-32,323.847,0.58,M1 V,-1.292,3900.0,0.0,2.69
Kepler-326 d,Transit,2014,0,6.766888,1.21,6.9,21.4,Kepler-326,487.675,0.85,,-0.157,5105.0,0.23900000000000002,14.0
Kepler-238 c,Transit,2014,0,6.155557,2.39,6.3,2.54,Kepler-238,1798.75,1.06,,0.43,5751.0,0.23,6.76
Kepler-245 c,Transit,2014,0,17.460812,2.18,225.6,120.0,Kepler-245,861.527,0.86,,-0.396,5100.0,0.05,3.63
Kepler-205 c,Transit,2014,0,20.306546,1.6400000000000001,3.33,4.15,Kepler-205,159.72,0.59,M1 V,-0.9560000000000001,4321.0,-0.125,3.16
Kepler-206 c,Transit,2014,0,13.137471,1.77,3.7800000000000002,3.75,Kepler-206,594.447,1.05,,0.084,5764.0,0.021,7.0
Kepler-208 c,Transit,2014,0,7.466623,1.3900000000000001,2.51,5.14,Kepler-208,775.328,1.16,,0.309,6092.0,-0.042,4.37
Kepler-216 c,Transit,2014,0,17.406669,3.04,9.48,1.85,Kepler-216,1187.47,1.11,,0.518,6091.0,-0.149,0.28
Kepler-224 c,Transit,2014,0,5.925003,3.12,9.91,1.79,Kepler-224,782.088,0.8200000000000001,,-0.514,5018.0,-0.27,2.29
Kepler-224 d,Transit,2014,0,11.349393,2.3,5.9,2.66,Kepler-224,782.088,0.8200000000000001,,-0.514,5018.0,-0.27,2.29
Kepler-243 c,Transit,2014,0,20.026218,1.99,4.62,3.22,Kepler-243,693.86,0.8300000000000001,,-0.373,5228.0,0.01,3.5
Kepler-232 b,Transit,2014,0,4.431222,3.08,9.69,1.8199999999999998,Kepler-232,1349.13,0.97,,0.052000000000000005,5847.0,0.03,1.4
Kepler-245 d,Transit,2014,0,36.277108,3.03,21.6,4.27,Kepler-245,861.527,0.86,,-0.396,5100.0,0.05,3.63
Kepler-230 c,Transit,2014,0,91.773242,2.04,4.82,3.12,Kepler-230,740.754,0.84,,-0.368,5588.0,-0.14,1.8
Kepler-24 b,Transit,2011,0,8.1453,2.4,508.5,,Kepler-24,1156.81,1.03,,0.064,5800.0,-0.24,7.7
Kepler-249 d,Transit,2014,0,15.368459,1.57,3.09,4.39,Kepler-249,190.401,0.51,M2 V,-1.495,3568.0,-0.34,3.09
Kepler-24 d,Transit,2014,0,4.244384,1.67,3.43,4.05,Kepler-24,1156.81,0.98,,0.14200000000000002,5897.0,-0.07100000000000001,5.2
Kepler-246 b,Transit,2014,0,4.60182,2.34,6.08,2.61,Kepler-246,626.078,0.79,,-0.41300000000000003,5206.0,0.16,12.6
Kepler-246 c,Transit,2014,0,11.187161,1.5,2.8600000000000003,4.66,Kepler-246,626.078,0.79,,-0.41300000000000003,5206.0,0.16,12.6
Kepler-256 d,Transit,2014,0,5.839172,2.48,6.71,2.42,Kepler-256,1026.43,0.97,,-0.059000000000000004,5551.0,0.12,9.55
Kepler-26 d,Transit,2014,0,3.543919,1.07,1.24,5.56,Kepler-26,335.307,0.62,M0 V,-1.06,4486.0,-0.05,2.95
Kepler-262 c,Transit,2014,0,21.853722,1.6400000000000001,3.33,4.15,Kepler-262,613.129,0.99,,-0.14,5841.0,-0.338,3.55
Kepler-1472 b,Transit,2016,0,38.1312831,1.9,4.27,3.42,Kepler-1472,1479.14,1.16,,0.42,6159.0,0.03,3.09
