pl_name,discoverymethod,disc_year,pl_controv_flag,pl_orbper,pl_rade,pl_bmasse,pl_dens,hostname,sy_dist,st_mass,st_spectype,st_lum,st_teff,st_met,st_age
Kepler-194 b,Transit,2014,0,2.092281,1.51,2.89,4.61,Kepler-194,1097.97,1.09,,0.043000000000000003,6089.0,0.16,2.5
Kepler-194 d,Transit,2014,0,52.814973,2.4,6.35,2.52,Kepler-194,1097.97,1.09,,0.043000000000000003,6089.0,0.16,2.5
Kepler-197 c,Transit,2014,0,10.349695,1.23,5.3,15.7,Kepler-197,330.575,0.86,,0.222,6004.0,-0.441,5.37
Kepler-105 c,Transit,2014,0,7.1262,1.31,4.6,11.2,Kepler-105,459.223,0.96,,0.097,5827.0,-0.19,3.17
Kepler-218 b,Transit,2014,0,3.619337,1.48,2.79,4.73,Kepler-218,656.38,1.02,,0.009000000000000001,5502.0,0.31,6.3
Kepler-218 c,Transit,2014,0,44.699576,3.14,10.0,1.77,Kepler-218,656.38,1.02,,0.009000000000000001,5502.0,0.31,6.3
Kepler-219 b,Transit,2014,0,4.585512,2.95,9.01,1.93,Kepler-219,787.07,1.17,,0.214,5786.0,0.361,4.0
Kepler-198 d,Transit,2016,0,1.31184443,1.53,2.96,4.54,Kepler-198,495.358,0.97,,-0.109,5636.0,0.04,3.7199999999999998
Kepler-22 b,Transit,2011,0,289.8623,2.38,36.0,14.7,Kepler-22,194.642,0.97,G5 V,-0.10200000000000001,5518.0,-0.29,7.08
Kepler-1637 b,Transit,2016,0,6.10960324,0.89,0.64,4.99,Kepler-1637,567.187,1.02,,0.023,5789.0,0.07,4.17
Kepler-1616 b,Transit,2016,0,6.76284377,1.02,1.04,5.39,Kepler-1616,1137.81,1.21,,0.638,6266.0,0.02,2.75
Kepler-20 c,Transit,2011,0,10.85409089,3.047,12.75,2.5,Kepler-20,282.563,0.9500000000000001,,-0.165,5495.0,0.07,7.6
Kepler-220 e,Transit,2014,0,45.902733,1.33,2.33,5.44,Kepler-220,171.109,0.65,,-0.676,4632.0,-0.17400000000000002,6.0
Kepler-223 b,Transit,2014,0,7.3844899999999996,2.99,7.4,1.54,Kepler-223,1859.71,1.12,,0.371,5803.0,0.19,7.2
Kepler-223 c,Transit,2014,0,9.84564,3.44,5.1,0.71,Kepler-223,1859.71,1.12,,0.371,5803.0,0.19,7.2
